"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Rashod Bateman","BAL","WR52","0.0","0.6","0.0","47.9","717.0","5.8","0.1","106.4"
"Jerome Ford","CLE","RB39","142.7","589.2","3.1","34.4","239.6","1.1","0.8","106.4"
"Rashee Rice","KC","WR53","0.8","4.1","0.0","62.1","734.6","5.4","0.6","105.0"
"Josh Downs","IND","WR54","0.3","5.8","0.0","69.2","769.9","4.5","0.5","103.7"
"T.J. Hockenson","MIN","TE7","0.0","0.0","0.0","73.1","767.0","4.6","0.5","103.3"
"David Njoku","CLE","TE8","0.0","0.0","0.0","76.5","739.9","4.9","0.8","101.9"
"Nick Chubb","HOU","RB40","133.6","566.2","4.8","11.9","91.0","1.0","0.5","98.9"
"Tank Bigsby","JAC","RB41","150.5","619.0","5.0","10.7","77.2","0.2","1.1","98.4"
"Cedric Tillman","CLE","WR55","0.7","0.8","0.0","58.3","738.0","4.1","0.9","96.8"
"Xavier Legette","CAR","WR56","6.2","30.3","0.1","60.9","681.1","4.2","0.5","96.2"
"Quinshon Judkins","CLE","RB42","126.9","543.3","3.6","21.8","169.1","0.9","1.2","96.1"
"Rachaad White","TB","RB43","104.5","420.6","2.7","35.9","270.7","2.1","1.3","95.3"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.4","681.3","4.7","1.1","95.3"
"Trey Benson","ARI","RB44","129.4","581.5","3.8","16.5","126.3","0.5","0.9","95.0"
"Cam Skattebo","NYG","RB45","122.2","522.5","3.5","23.9","185.4","0.9","1.2","94.8"
"Marquise Brown","KC","WR57","0.3","2.0","0.0","55.6","685.1","4.4","0.2","94.5"
"Tucker Kraft","GB","TE10","0.0","0.0","0.0","55.6","655.7","4.8","0.8","92.8"
"Dylan Sampson","CLE","RB46","125.0","518.6","3.0","22.9","179.8","0.9","0.8","92.1"
"Keenan Allen","LAC","WR58","0.3","2.0","0.0","55.6","641.0","4.8","0.6","91.8"
"Christian Kirk","HOU","WR59","0.7","4.0","0.0","54.5","701.0","3.7","0.8","90.9"
"Kyle Pitts Sr.","ATL","TE11","0.0","0.0","0.0","51.4","650.5","4.3","0.1","90.5"
"Jaydon Blue","DAL","RB47","114.5","498.7","3.1","22.9","176.8","0.9","0.8","89.7"
"Jayden Higgins","HOU","WR60","0.7","4.0","0.0","50.2","665.9","3.9","0.4","89.5"
"DeMario Douglas","NE","WR61","2.1","16.0","0.0","60.9","647.6","3.5","0.2","87.2"
"Najee Harris","LAC","RB48","124.6","484.1","3.8","17.8","130.3","0.7","0.8","86.9"
"Jalen Coker","CAR","WR62","0.0","3.0","0.0","52.7","667.4","3.3","0.2","86.7"
"Tyler Allgeier","ATL","RB49","121.3","554.9","3.3","13.9","102.5","0.4","0.8","86.4"
"Evan Engram","DEN","TE12","0.0","0.0","0.0","70.6","629.7","4.2","0.9","86.4"
"Dallas Goedert","PHI","TE13","0.0","2.0","0.0","57.7","636.2","3.9","0.5","86.3"
"Ray Davis","BUF","RB50","114.6","485.2","3.6","12.4","105.7","1.0","0.8","85.2"
"Zach Ertz","WAS","TE14","0.0","0.0","0.0","58.5","542.8","5.1","0.1","84.9"
"Romeo Doubs","GB","WR63","0.0","0.5","0.0","47.1","600.5","4.3","0.5","84.8"
"Joshua Palmer","BUF","WR64","0.0","0.5","0.0","44.6","624.1","3.8","0.1","84.7"
"Brandon Aiyuk","SF","WR65","0.0","1.0","0.0","43.0","649.3","3.3","0.5","84.2"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.4","604.6","4.0","0.5","83.7"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","67.9","621.8","3.8","1.2","82.6"
"Wan'Dale Robinson","NYG","WR66","2.0","15.8","0.0","69.5","627.7","3.1","0.5","82.4"
"Bhayshul Tuten","JAC","RB51","106.6","449.2","3.1","18.5","145.4","0.9","0.9","81.3"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","54.4","568.7","3.9","0.4","79.4"
"Michael Wilson","ARI","WR67","1.9","8.9","0.1","45.0","542.1","4.1","0.5","78.8"
"Braelon Allen","NYJ","RB52","116.5","439.6","3.0","16.9","126.7","0.8","0.4","78.5"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","54.6","571.8","3.8","1.1","77.6"
"Tyler Lockett","TEN","WR68","0.0","0.0","0.0","49.5","573.9","3.4","0.1","77.4"
"Luther Burden III","CHI","WR69","3.6","27.2","0.4","45.1","545.7","3.2","1.1","76.4"
"Calvin Austin III","PIT","WR70","2.3","11.8","0.1","41.2","549.9","3.5","0.5","76.3"
"Cade Otton","TB","TE19","0.0","0.0","0.0","50.9","520.7","4.2","0.5","76.0"
"Rico Dowdle","CAR","RB53","93.0","415.9","2.4","22.4","152.3","1.1","0.8","75.9"
"Tyjae Spears","TEN","RB54","83.8","337.1","2.5","29.3","219.6","1.0","0.5","75.8"
"Brenton Strange","JAC","TE20","0.0","0.0","0.0","55.3","550.3","3.5","0.5","75.0"
"Jonnu Smith","PIT","TE21","0.0","1.5","0.0","51.5","532.3","3.8","0.9","74.7"
"Alec Pierce","IND","WR71","0.0","0.0","0.0","31.2","538.7","3.5","0.1","74.6"
"Tre' Harris","LAC","WR72","0.7","3.8","0.0","40.8","544.6","3.4","0.7","73.9"
"Isaiah Likely","BAL","TE22","0.0","0.0","0.0","39.7","469.7","4.6","0.7","73.3"
"Kendre Miller","NO","RB55","110.1","416.4","3.7","12.1","90.4","0.2","0.5","73.0"
"Darren Waller","MIA","TE23","0.0","0.0","0.0","49.2","541.9","3.1","0.1","72.8"
"Kareem Hunt","KC","RB56","80.8","323.0","3.3","21.4","149.8","0.8","0.1","71.9"
"Chig Okonkwo","TEN","TE24","0.0","3.0","0.0","55.1","550.1","3.0","0.8","71.8"
"Ollie Gordon II","MIA","RB57","96.6","409.6","3.4","12.5","95.1","0.5","1.1","71.5"
"Adam Thielen","MIN","WR73","0.0","1.3","0.0","42.9","480.0","4.0","0.5","71.1"
"Brian Robinson Jr.","SF","RB58","106.3","427.2","3.5","8.1","67.6","0.4","1.2","70.5"
"Mike Gesicki","CIN","TE25","0.0","0.0","0.0","51.0","502.9","3.4","0.4","70.0"
"Quentin Johnston","LAC","WR74","1.7","7.3","0.0","34.5","453.3","4.1","0.4","70.0"
"Amari Cooper","LV","WR75","0.0","0.0","0.0","39.9","529.7","2.8","0.1","69.6"
"Darius Slayton","NYG","WR76","1.4","6.4","0.0","35.6","536.1","2.5","0.2","69.3"
"Dalton Schultz","HOU","TE26","0.0","0.0","0.0","49.0","505.5","3.2","0.4","68.8"
"DeAndre Hopkins","BAL","WR77","0.0","0.5","0.0","34.2","436.3","4.2","0.1","68.5"
"Mason Taylor","NYJ","TE27","0.0","0.0","0.0","51.7","519.3","3.0","0.8","68.3"
"Roschon Johnson","CHI","RB59","86.6","300.6","4.2","15.0","98.5","0.4","0.1","67.6"
"Juwan Johnson","NO","TE28","0.0","0.0","0.0","47.1","487.6","3.2","0.2","67.5"
"Pat Freiermuth","PIT","TE29","0.0","0.0","0.0","51.1","489.9","3.4","0.9","67.5"
"Josh Reynolds","NYJ","WR78","0.0","0.0","0.0","37.3","485.8","3.2","0.1","67.5"
"Ray-Ray McCloud III","ATL","WR79","7.8","53.0","0.2","43.4","477.6","2.6","1.2","67.0"
"Jaylen Wright","MIA","RB60","108.2","426.7","2.8","10.5","71.5","0.5","1.1","67.0"
"Tutu Atwell","LAR","WR80","4.3","20.2","0.1","40.0","509.7","2.2","0.1","66.6"
"Theo Johnson","NYG","TE30","0.0","0.0","0.0","45.2","495.2","2.8","0.1","66.0"
"Nick Westbrook-Ikhine","MIA","WR81","0.0","1.3","0.0","31.4","428.3","3.7","0.1","64.7"
"Tyler Higbee","LAR","TE31","0.0","0.0","0.0","45.3","425.1","3.7","0.1","64.3"
"Troy Franklin","DEN","WR82","1.1","6.1","0.0","34.9","436.5","3.3","0.1","63.7"
"Tory Horton","SEA","WR83","1.0","8.0","0.0","36.8","485.6","2.5","1.0","62.1"
"Jalen Tolbert","DAL","WR84","0.0","0.0","0.0","34.9","411.6","3.5","0.1","62.0"
"Dyami Brown","JAC","WR85","0.7","6.8","0.0","35.8","456.6","2.5","0.5","60.5"
"Andrei Iosivas","CIN","WR86","0.0","0.0","0.0","31.4","380.7","3.7","0.1","59.9"
"Pat Bryant","DEN","WR87","0.0","0.0","0.0","34.2","417.0","3.0","0.1","59.8"
"Blake Corum","LAR","RB61","93.4","347.5","2.3","12.7","93.8","0.3","0.4","59.2"
"Kayshon Boutte","NE","WR88","0.0","0.0","0.0","32.0","429.6","2.7","0.1","58.8"
"Kyle Williams","NE","WR89","2.2","13.4","0.0","33.4","427.7","2.5","0.4","58.7"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","424.2","2.8","0.4","58.6"
"MarShawn Lloyd","GB","RB62","87.4","313.6","2.5","11.1","88.8","0.6","0.4","58.4"
"Ja'Tavion Sanders","CAR","TE33","0.0","0.0","0.0","44.0","437.2","2.2","0.1","56.8"
"Justice Hill","BAL","RB63","41.9","185.2","1.2","27.3","221.4","1.7","0.4","56.6"
"Noah Brown","WAS","WR90","0.0","0.0","0.0","33.9","436.0","2.2","0.1","56.4"
"Raheem Mostert","LV","RB64","77.1","278.2","2.4","16.4","121.5","0.6","0.8","56.1"
"Jordan Whittington","LAR","WR91","1.1","13.9","0.0","34.1","397.4","2.4","0.1","55.4"
"Elic Ayomanor","TEN","WR92","0.0","5.7","0.0","33.4","406.4","2.3","0.1","54.8"
"Keaton Mitchell","BAL","RB65","66.1","322.4","1.7","9.2","85.9","0.5","0.0","54.0"
"Tre Tucker","LV","WR93","5.6","31.5","0.3","28.5","360.9","2.1","0.1","54.0"
"Miles Sanders","DAL","RB66","93.4","344.9","2.0","10.0","61.9","0.3","0.5","53.9"
"Chris Rodriguez Jr.","WAS","RB67","70.4","318.2","2.9","5.4","40.6","0.1","0.4","53.4"
"Roman Wilson","PIT","WR94","0.0","0.0","0.0","30.5","380.9","2.6","0.1","53.4"
"Will Dissly","LAC","TE34","0.0","0.0","0.0","38.6","378.3","2.5","0.1","52.9"
"Noah Fant","CIN","TE35","0.0","0.0","0.0","37.2","381.0","2.4","0.1","52.7"
"Woody Marks","HOU","RB68","58.4","234.7","1.6","19.5","145.5","0.8","0.1","52.3"
"Tahj Brooks","CIN","RB69","66.0","266.0","2.1","12.4","104.1","0.7","1.0","51.9"
"Ty Johnson","BUF","RB70","45.2","205.8","0.9","15.2","165.7","1.5","0.1","51.4"
"Isaac TeSlaa","DET","WR95","0.0","0.0","0.0","28.4","375.4","2.3","0.1","51.3"
"Adonai Mitchell","IND","WR96","2.9","9.6","0.1","28.4","372.4","2.2","0.4","50.7"
"Greg Dortch","ARI","WR97","4.8","30.6","0.1","33.1","330.4","2.5","0.4","50.7"
"Dontayvion Wicks","GB","WR98","0.0","1.3","0.0","25.8","323.3","3.0","0.0","50.4"
"Christian Watson","GB","WR99","3.3","14.0","0.0","19.9","355.6","2.3","0.4","50.2"
"Allen Lazard","NYJ","WR100","0.0","0.0","0.0","27.8","355.9","2.5","0.1","50.2"
"Samaje Perine","CIN","RB71","49.5","201.6","1.3","18.5","162.4","0.9","0.7","48.5"
"Noah Gray","KC","TE36","0.0","0.5","0.0","30.2","308.5","2.8","0.1","47.3"
"Jamari Thrash","CLE","WR101","0.0","0.0","0.0","29.7","359.0","1.9","0.1","47.1"
"Brandin Cooks","NO","WR102","1.7","1.8","0.0","28.7","326.7","2.4","0.1","46.9"
"Tyler Conklin","LAC","TE37","0.0","0.0","0.0","33.7","326.0","2.3","0.0","46.1"
"Zamir White","LV","RB72","67.9","263.3","1.6","11.6","81.2","0.4","0.1","46.0"
"Kyle Monangai","CHI","RB73","44.2","265.3","2.4","6.4","45.6","0.1","0.1","45.7"
"Curtis Samuel","BUF","WR103","6.6","29.3","0.1","27.0","272.7","2.5","0.1","45.6"
"KaVontae Turpin","DAL","WR104","8.4","58.5","0.5","22.4","273.5","1.8","0.7","45.5"
"AJ Barner","SEA","TE38","0.0","0.0","0.0","32.5","306.9","2.4","0.1","45.0"
"Dont'e Thornton Jr.","LV","WR105","0.0","2.0","0.0","25.0","325.9","2.0","0.1","44.7"
"Jarquez Hunter","LAR","RB74","61.6","251.0","2.0","7.1","61.4","0.4","0.7","44.4"
"Antonio Gibson","NE","RB75","50.6","213.5","1.0","16.5","134.0","0.5","0.0","43.7"
"Devin Neal","NO","RB76","53.6","247.7","1.7","8.3","61.8","0.4","0.1","43.3"
"Malik Washington","MIA","WR106","2.0","13.8","0.1","30.1","314.6","1.8","0.6","43.0"
"Kenneth Gainwell","PIT","RB77","58.4","226.5","1.6","12.5","88.2","0.4","0.4","42.7"
"Jalen Nailor","MIN","WR107","1.8","3.1","0.0","19.9","270.3","2.6","0.4","42.3"
"Van Jefferson","TEN","WR108","0.0","0.0","0.0","23.8","306.6","1.9","0.1","41.9"
"Isaac Guerendo","SF","RB78","50.1","239.8","1.9","7.5","67.4","0.1","0.4","41.8"
"Cole Kmet","CHI","TE39","0.0","0.0","0.0","28.6","274.5","2.3","0.4","40.3"
"Harold Fannin Jr.","CLE","TE40","0.0","0.0","0.0","30.7","303.5","1.8","0.4","40.2"
"Jaylin Noel","HOU","WR109","1.0","12.0","0.0","24.2","298.6","1.6","0.4","40.1"
"Austin Hooper","NE","TE41","0.0","0.0","0.0","29.6","295.3","1.9","0.4","40.0"
"Devin Singletary","NYG","RB79","52.0","236.6","1.5","9.4","63.9","0.1","0.4","39.3"
"Devaughn Vele","NO","WR110","0.0","1.7","0.0","27.6","293.3","1.7","0.2","39.3"
"Will Shipley","PHI","RB80","40.2","214.2","1.4","9.2","68.4","0.5","0.1","38.9"
"JuJu Smith-Schuster","KC","WR111","0.0","0.0","0.0","24.9","275.7","1.9","0.1","38.8"
"Trevor Etienne","CAR","RB81","48.3","192.7","1.5","10.8","87.7","0.4","0.4","38.7"
"Demarcus Robinson","SF","WR112","0.0","1.0","0.0","15.9","244.7","2.3","0.0","38.3"
"Jaleel McLaughlin","DEN","RB82","39.6","169.3","0.9","18.3","110.8","0.9","0.5","37.9"
"Michael Mayer","LV","TE42","0.0","0.0","0.0","28.6","262.7","1.8","0.1","36.8"
"Emanuel Wilson","GB","RB83","43.0","206.7","1.4","7.9","57.3","0.4","0.4","36.7"
"Jalen McMillan","TB","WR113","1.4","12.2","0.0","18.1","223.4","2.3","0.4","36.5"
"Sean Tucker","TB","RB84","45.2","232.0","1.4","5.3","41.1","0.4","0.7","36.3"
"Elijah Mitchell","KC","RB85","59.6","200.7","1.6","7.2","40.8","0.4","0.1","35.9"
"Dawson Knox","BUF","TE43","0.0","0.0","0.0","22.0","238.5","1.9","0.0","35.3"
"Terrance Ferguson","LAR","TE44","0.0","0.0","0.0","23.0","235.5","1.9","0.4","34.1"
"David Moore","CAR","WR114","0.0","0.0","0.0","20.9","256.0","1.4","0.1","33.7"
"Jack Bech","LV","WR115","0.0","2.5","0.0","20.0","243.0","1.5","0.0","33.4"
"Robbie Ouzts","SEA","TE45","0.0","0.0","0.0","25.5","247.9","1.5","0.5","33.0"
"Jermaine Burton","CIN","WR116","0.0","2.0","0.0","15.8","206.0","2.0","0.1","32.3"
"Chimere Dike","TEN","WR117","2.1","8.9","0.0","18.8","222.9","1.5","0.0","32.1"
"Foster Moreau","NO","TE46","0.0","0.0","0.0","19.2","218.5","1.5","0.0","31.0"
"Tyler Goodson","IND","RB86","52.6","180.9","1.1","5.7","37.8","0.4","0.0","30.5"
"DJ Giddens","IND","RB87","23.7","163.2","1.3","7.6","56.4","0.1","0.0","30.3"
"Dameon Pierce","HOU","RB88","38.1","183.4","1.2","7.7","50.9","0.2","0.8","29.9"
"Isaiah Bond","CLE","WR118","0.0","0.0","0.0","18.3","221.6","1.3","0.0","29.7"
"Gunnar Helm","TEN","TE47","0.0","0.0","0.0","22.0","220.8","1.3","0.4","28.9"
"Julius Chestnut","TEN","RB89","36.7","144.3","0.8","10.3","75.3","0.3","0.0","28.9"
"Oronde Gadsden II","LAC","TE48","0.0","0.0","0.0","19.1","195.5","1.6","0.1","28.8"
"Josh Oliver","MIN","TE49","0.0","0.0","0.0","18.3","193.4","1.5","0.0","28.5"
"Jake Bobo","SEA","WR119","0.0","0.0","0.0","17.0","205.4","1.3","0.1","28.5"
"Tommy Tremble","CAR","TE50","0.0","0.0","0.0","19.4","185.0","1.7","0.4","27.9"
"Luke Musgrave","GB","TE51","0.0","0.0","0.0","19.3","187.5","1.4","0.0","27.2"
"Brock Wright","DET","TE52","0.0","0.0","0.0","15.0","135.2","2.2","0.0","26.5"
"A.J. Dillon","PHI","RB90","37.0","154.1","1.3","3.6","28.6","0.1","0.0","26.5"
"Jahan Dotson","PHI","WR120","0.0","1.7","0.0","15.1","181.8","1.3","0.0","26.2"
"Ben Sinnott","WAS","TE53","0.0","0.0","0.0","17.8","175.0","1.5","0.0","26.2"
"Parker Washington","JAC","WR121","0.0","5.7","0.0","17.7","187.3","1.2","0.1","26.0"
"Zay Jones","ARI","WR122","0.0","2.0","0.0","16.7","179.8","1.3","0.1","25.6"
"Hassan Haskins","LAC","RB91","28.3","117.6","0.9","7.7","59.3","0.5","0.3","25.2"
"Kalif Raymond","DET","WR123","0.0","4.0","0.0","14.6","183.8","1.1","0.6","24.6"
"Isaiah Davis","NYJ","RB92","30.8","151.9","0.8","4.9","35.6","0.1","0.0","24.5"
"Zavier Scott","MIN","WR124","32.0","153.0","1.0","3.0","29.0","0.0","0.0","24.2"
"Chris Brooks","GB","RB93","27.3","136.3","0.9","7.3","48.5","0.1","0.0","24.1"
"Olamide Zaccheaus","CHI","WR125","1.1","6.0","0.0","15.2","167.3","1.1","0.1","23.7"
