"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Roman Wilson","PIT","30.5","380.9","2.6","0.0","0.0","0.0","0.1","53.4"
"Isaac TeSlaa","DET","28.4","375.4","2.3","0.0","0.0","0.0","0.1","51.3"
"Adonai Mitchell","IND","28.4","372.4","2.2","2.9","9.6","0.1","0.4","50.7"
"Greg Dortch","ARI","33.1","330.4","2.5","4.8","30.6","0.1","0.4","50.7"
"Dontayvion Wicks","GB","25.8","323.3","3.0","0.0","1.3","0.0","0.0","50.4"
"Christian Watson","GB","19.9","355.6","2.3","3.3","14.0","0.0","0.4","50.2"
"Allen Lazard","NYJ","27.8","355.9","2.5","0.0","0.0","0.0","0.1","50.2"
"Jamari Thrash","CLE","29.7","359.0","1.9","0.0","0.0","0.0","0.1","47.1"
"Brandin Cooks","NO","28.7","326.7","2.4","1.7","1.8","0.0","0.1","46.9"
"Curtis Samuel","BUF","27.0","272.7","2.5","6.6","29.3","0.1","0.1","45.6"
"KaVontae Turpin","DAL","22.4","273.5","1.8","8.4","58.5","0.5","0.7","45.5"
"Dont'e Thornton Jr.","LV","25.0","325.9","2.0","0.0","2.0","0.0","0.1","44.7"
"Malik Washington","MIA","30.1","314.6","1.8","2.0","13.8","0.1","0.6","43.0"
"Jalen Nailor","MIN","19.9","270.3","2.6","1.8","3.1","0.0","0.4","42.3"
"Van Jefferson","TEN","23.8","306.6","1.9","0.0","0.0","0.0","0.1","41.9"
"Jaylin Noel","HOU","24.2","298.6","1.6","1.0","12.0","0.0","0.4","40.1"
"Devaughn Vele","NO","27.6","293.3","1.7","0.0","1.7","0.0","0.2","39.3"
"JuJu Smith-Schuster","KC","24.9","275.7","1.9","0.0","0.0","0.0","0.1","38.8"
"Demarcus Robinson","SF","15.9","244.7","2.3","0.0","1.0","0.0","0.0","38.3"
"Jalen McMillan","TB","18.1","223.4","2.3","1.4","12.2","0.0","0.4","36.5"
"David Moore","CAR","20.9","256.0","1.4","0.0","0.0","0.0","0.1","33.7"
"Jack Bech","LV","20.0","243.0","1.5","0.0","2.5","0.0","0.0","33.4"
"Jermaine Burton","CIN","15.8","206.0","2.0","0.0","2.0","0.0","0.1","32.3"
"Chimere Dike","TEN","18.8","222.9","1.5","2.1","8.9","0.0","0.0","32.1"
"Isaiah Bond","CLE","18.3","221.6","1.3","0.0","0.0","0.0","0.0","29.7"
"Jake Bobo","SEA","17.0","205.4","1.3","0.0","0.0","0.0","0.1","28.5"
"Jahan Dotson","PHI","15.1","181.8","1.3","0.0","1.7","0.0","0.0","26.2"
"Parker Washington","JAC","17.7","187.3","1.2","0.0","5.7","0.0","0.1","26.0"
"Zay Jones","ARI","16.7","179.8","1.3","0.0","2.0","0.0","0.1","25.6"
"Kalif Raymond","DET","14.6","183.8","1.1","0.0","4.0","0.0","0.6","24.6"
"Olamide Zaccheaus","CHI","15.2","167.3","1.1","1.1","6.0","0.0","0.1","23.7"
"Elijah Moore","BUF","14.5","159.8","1.2","0.0","1.3","0.0","0.0","23.4"
"Xavier Hutchinson","HOU","14.7","173.8","1.0","0.0","0.0","0.0","0.1","23.2"
"Jalen Royals","KC","13.9","156.7","1.2","0.0","2.5","0.0","0.0","22.9"
"Mack Hollins","NE","12.4","154.0","1.1","0.0","1.7","0.0","0.0","22.2"
"KhaDarel Hodge","ATL","12.3","162.2","1.0","0.0","2.0","0.0","0.1","22.2"
"Jalin Hyatt","NYG","12.1","161.1","0.9","0.0","0.0","0.0","0.0","21.3"
"Arian Smith","NYJ","13.4","160.8","0.7","0.0","5.5","0.0","0.0","20.9"
"Luke McCaffrey","WAS","13.3","137.2","1.0","0.0","1.0","0.0","0.1","19.8"
"Robert Woods","PIT","12.0","120.0","1.0","0.0","0.0","0.0","0.0","18.0"
"Tai Felton","MIN","10.3","120.3","1.0","0.0","1.7","0.0","0.0","18.0"
"Marquez Valdes-Scantling","SF","7.0","112.0","1.0","0.0","2.0","0.0","0.0","17.4"
"Tyquan Thornton","KC","8.0","115.1","0.9","0.0","0.0","0.0","0.0","16.6"
"Savion Williams","GB","7.6","89.4","0.8","4.4","19.4","0.1","0.0","16.0"
"Skyy Moore","SF","9.0","110.7","0.7","0.0","0.0","0.0","0.0","15.2"
"Tim Patrick","JAC","8.6","104.5","0.7","0.0","0.0","0.0","0.0","14.5"
"Tylan Wallace","BAL","6.8","88.3","0.9","0.0","1.7","0.0","0.0","14.2"
"Jaylin Lane","WAS","6.9","79.6","0.5","2.2","13.5","0.1","0.1","13.2"
"Casey Washington","ATL","7.5","90.5","0.7","0.0","0.0","0.0","0.0","13.1"
"Sterling Shepard","TB","8.0","83.1","0.5","0.8","7.0","0.0","0.0","12.3"
"Jimmy Horn Jr.","CAR","6.8","84.4","0.6","0.0","0.0","0.0","0.0","12.0"
"KeAndre Lambert-Smith","LAC","5.9","77.7","0.6","0.0","3.0","0.0","0.0","11.4"
"Bo Melton","GB","6.6","79.3","0.6","0.0","0.0","0.0","0.0","11.4"
"Devontez Walker","BAL","5.3","71.4","0.7","0.0","1.7","0.0","0.0","11.3"
"Jamal Agnew","ATL","6.8","70.1","0.6","0.0","0.0","0.0","0.0","10.4"
"Xavier Restrepo","TEN","4.0","40.0","1.0","0.0","2.0","0.0","0.0","10.2"
"Xavier Gipson","NYJ","7.5","82.1","0.4","0.0","3.7","0.0","0.5","9.9"
"Trey Palmer","NO","6.6","77.5","0.3","0.0","2.0","0.0","0.0","9.9"
"Irvin Charles","NYJ","6.5","69.7","0.5","0.0","0.0","0.0","0.0","9.7"
"Malik Heath","GB","5.8","66.7","0.5","0.0","2.0","0.0","0.0","9.6"
"Cody White","SEA","5.5","67.6","0.4","0.0","0.0","0.0","0.0","9.2"
"John Metchie III","PHI","6.3","68.9","0.3","0.0","0.0","0.0","0.0","8.7"
"Tyler Johnson","NYJ","7.0","80.0","0.0","0.0","0.0","0.0","0.0","8.0"
"Efton Chism III","NE","4.8","56.3","0.4","0.0","0.0","0.0","0.0","7.9"
"Dareke Young","SEA","4.7","57.5","0.4","0.0","0.0","0.0","0.0","7.9"
"Mason Tipton","NO","5.3","55.6","0.4","0.0","0.0","0.0","0.0","7.7"
"Derius Davis","LAC","2.8","31.2","0.1","10.5","35.5","0.2","0.6","7.5"
"Trent Sherfield Sr.","DEN","4.4","53.2","0.4","0.0","0.0","0.0","0.0","7.4"
"Tez Johnson","TB","4.0","49.4","0.2","0.0","0.0","0.0","0.0","6.3"
"Ben Skowronek","PIT","4.1","44.5","0.3","0.0","0.0","0.0","0.0","6.1"
"Xavier Weaver","ARI","3.4","40.3","0.3","0.0","0.0","0.0","0.0","5.8"
"Justin Watson","HOU","3.4","45.3","0.2","0.0","0.0","0.0","0.0","5.8"
"Jordan Watkins","SF","3.0","42.7","0.2","0.0","2.5","0.0","0.0","5.6"
"Scotty Miller","PIT","3.9","47.1","0.1","0.0","0.0","0.0","0.0","5.4"
"Charlie Jones","CIN","3.4","39.6","0.2","0.0","1.7","0.0","0.0","5.4"
"Bryce Oliver","TEN","3.4","38.2","0.2","0.0","0.0","0.0","0.0","5.2"
"Gage Larvadain","CLE","3.6","39.1","0.2","0.0","0.0","0.0","0.0","4.8"
"Dee Eskridge","MIA","3.0","32.8","0.2","0.0","1.7","0.0","0.0","4.7"
"Lil'Jordan Humphrey","NYG","4.0","44.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Nick Nash","ATL","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"DeAndre Carter","CLE","3.9","39.4","0.0","0.0","3.0","0.0","0.5","3.5"
"Mitchell Tinsley","CIN","2.5","28.8","0.1","0.0","0.0","0.0","0.0","3.4"
"Malachi Corley","CLE","3.0","29.0","0.0","0.0","2.0","0.0","0.0","3.1"
"Trishton Jackson","ARI","1.7","20.3","0.2","0.0","0.0","0.0","0.0","3.1"
"Konata Mumpfield","LAR","1.8","21.3","0.2","0.0","0.0","0.0","0.0","3.0"
"Russell Gage Jr.","SF","3.0","30.0","0.0","0.0","0.0","0.0","0.0","3.0"
"Anthony Gould","IND","1.8","22.8","0.1","0.0","2.5","0.0","0.0","2.8"
"Tyrell Shavers","BUF","1.5","20.1","0.1","0.0","0.0","0.0","0.0","2.8"
"Cedrick Wilson Jr.","NO","2.0","22.0","0.0","0.0","6.0","0.0","0.0","2.8"
"Tyler Scott","IND","2.0","22.0","0.0","0.0","5.0","0.0","0.0","2.7"
"Ashton Dulin","IND","1.7","19.5","0.1","0.0","1.7","0.0","0.0","2.7"
"Beaux Collins","NYG","1.7","19.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Brycen Tremayne","CAR","1.6","17.1","0.1","0.0","0.0","0.0","0.0","2.2"
"David Bell","CLE","2.0","21.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Isaiah Williams","CIN","1.0","14.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Ryan Miller","TB","0.8","9.7","0.1","0.0","0.0","0.0","0.0","1.4"
"Xavier Smith","LAR","1.0","11.0","0.0","2.2","9.6","0.1","0.5","1.3"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","1.3"
"Tank Dell","HOU","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Devin Duvernay","CHI","2.0","23.0","0.0","0.0","6.0","0.0","1.0","0.9"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","8.5","0.0","0.0","0.9"
"Jason Brownlee","KC","0.5","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Nikko Remigio","KC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Kameron Johnson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Juwann Winfree","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rondale Moore","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Treylon Burks","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Mingo","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ja'Lynn Polk","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Johnny Wilson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Cephus","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","NYG","0.0","0.0","0.0","0.0","5.0","0.0","1.0","-1.5"
""
""
